,SCN,mfi_lab,wfi_lab,MWi_lab,ubound_init,ubound,wni_lab,y,Q,P0,P1,Mi,Wi,Wni,Zni
15,C24,0.9640000000000001,1.8769999999999998,326.72261410788377,333.5814993616342,334.0760664955415,0.02526516987024174,2.143624828242499,0.2144547856725062,0.9036267567279963,0.6625548225887157,326.62179467884175,5.444244953425944,0.02526537677830486,0.01666834559763264
16,C25,0.8320000000000001,1.6880000000000002,340.44038461538463,347.44987530481046,348.7768961449496,0.022721154363861518,2.2990748012702316,0.1953763573842923,0.9179752315645983,0.6983496530911728,341.2266614723717,4.896082165714018,0.02272149062221401,0.014348474836601956
17,C26,0.6940000000000001,1.466,354.4593659942363,361.7262004100535,363.164157896285,0.019732945673827596,2.4512090348152116,0.17764612773612717,0.9299265627158237,0.7302318090109534,355.7797243140765,4.252041302169237,0.019732658338346226,0.011951331151225486
18,C27,0.603,1.3259999999999998,368.9930348258706,376.17319725483253,377.84521993316673,0.017848489743175572,2.606449980535824,0.16064230692967607,0.9403128206028051,0.7597323242772441,370.3065537557094,3.846099364546113,0.01784878351421486,0.010386257886981332
19,C28,0.506,1.156,383.35335968379445,390.0710870007339,392.30416056644606,0.015560221827383832,2.759342163157868,0.14503823116094144,0.9490239504047168,0.7859842364600593,384.88296466393314,3.352765463732111,0.015559344484890299,0.008711129801911688
20,C29,0.447,1.057,396.78881431767337,403.8047519864229,407.27512458480305,0.01422764227642276,2.917648599485185,0.1301018044757081,0.9566964899219911,0.8104470437200059,399.5845491319999,3.065828243707508,0.014227740738611588,0.007672539517274313
21,C30,0.377,0.9229999999999999,410.82068965517243,417.38199591792886,422.11820848669873,0.012423948742798683,3.0746028018822553,0.11650980601592129,0.9631553075025444,0.8321848365271727,414.4954575935639,2.6771505485648093,0.01242398493829187,0.006458817580553333
22,C31,0.321,0.8109999999999999,423.94330218068535,431.0987099138721,436.9299041873706,0.010916383998277065,3.231225098179467,0.10412091862171946,0.9686341810233846,0.8515902495588394,429.32405125479306,2.3522121762797266,0.010916027365525873,0.0054788735208401995
23,C32,0.255,0.6659999999999999,438.25411764705876,445.3913122171946,450.69371813426943,0.008964626070101758,3.376766850436306,0.0936162568292502,0.9729882931982695,0.8677528141674078,443.6393617235865,1.9316555461388365,0.008964329415117272,0.004354112174884905
24,C33,0.221,0.596,452.52850678733034,459.5980842394363,464.5850453463937,0.008022398104775747,3.523656957453571,0.08394763443760338,0.9767669163359713,0.8824000849461843,457.463964136331,1.728583919550341,0.008021924875528556,0.003778623137701831
25,C34,0.201,0.5589999999999999,466.6676616915422,473.52754513148545,479.3557538724707,0.007524363323103428,3.679845845886246,0.07463332329661676,0.9802038443939028,0.8963073739004292,471.77233802442635,1.6214475855120942,0.007524731992166598,0.0034369280579314987
